propertyCode,pullDateId,IDS_DATE,Day,Rooms,OOO,StayOver,Arrivals,DueOut,Available,GroupBlock,GroupPickedUp,TransNGTD,TransGTD,Occupied,OccPercent,RoomRev,RevPAR,ADR,Ppl
US000009,61,2023-07-04,Tue,91,1,12,8,19,70,0,0,0,8,20,22.47 %,"1,555.59",17.68,77.78,28 / 4
US000009,61,2023-07-05,Wed,91,1,7,6,13,77,0,0,1,5,13,14.61 %,"1,005.64",11.43,77.36,18 / 0
US000009,61,2023-07-06,Thu,92,1,8,8,5,75,0,0,0,8,16,17.98 %,"1,247.80",14.18,77.99,23 / 3
US000009,61,2023-07-07,Fri,92,0,10,11,6,71,0,0,0,11,21,23.60 %,"1,906.15",21.42,90.77,37 / 3
US000009,61,2023-07-08,Sat,92,0,12,4,9,76,0,0,0,4,16,17.98 %,"1,467.01",16.48,91.69,26 / 2
US000009,61,2023-07-09,Sun,92,0,3,1,13,88,0,0,0,1,4,4.49 %,294.76,3.31,73.69,6 / 1
US000009,61,2023-07-10,Mon,92,0,4,1,0,87,0,0,0,1,5,5.62 %,373.93,4.2,74.79,8 / 1
US000009,61,2023-07-11,Tue,92,0,4,3,1,85,0,0,0,3,7,7.87 %,494.08,5.55,70.58,11 / 0
US000009,61,2023-07-12,Wed,92,0,5,3,2,84,0,0,0,3,8,8.99 %,628.53,7.06,78.57,14 / 1
US000009,61,2023-07-13,Thu,93,0,5,2,3,86,0,0,0,2,7,7.87 %,532.68,5.99,76.1,10 / 0
US000009,61,2023-07-14,Fri,92,0,1,4,6,87,0,0,0,4,5,5.62 %,478.38,5.38,95.68,7 / 0
US000009,61,2023-07-15,Sat,92,0,3,2,2,87,0,0,0,2,5,5.62 %,492.44,5.53,98.49,9 / 0
US000009,61,2023-07-16,Sun,92,0,3,4,2,85,0,0,0,4,7,7.87 %,580.19,6.52,82.88,10 / 0
US000009,61,2023-07-17,Mon,92,0,3,0,4,89,0,0,0,0,3,3.37 %,228.02,2.56,76.01,5 / 0
US000009,61,2023-07-18,Tue,92,0,3,1,0,88,0,0,0,1,4,4.49 %,303.40,3.41,75.85,6 / 0
US000009,61,2023-07-19,Wed,92,0,3,0,1,89,0,0,0,0,3,3.37 %,229.97,2.58,76.66,5 / 0
US000009,61,2023-07-20,Thu,92,0,3,6,0,83,0,0,0,6,9,10.11 %,716.74,8.05,79.64,12 / 0
US000009,61,2023-07-21,Fri,92,0,7,8,2,77,0,0,0,8,15,16.85 %,"1,506.65",16.93,100.44,22 / 0
US000009,61,2023-07-22,Sat,92,0,4,4,11,84,0,0,0,4,8,8.99 %,853.96,9.6,106.75,14 / 0
US000009,61,2023-07-23,Sun,92,0,2,0,6,90,0,0,0,0,2,2.25 %,201.85,2.27,100.93,3 / 0
US000009,61,2023-07-24,Mon,93,0,1,5,1,87,0,0,0,5,6,6.74 %,506.62,5.69,84.44,8 / 6
US000009,61,2023-07-25,Tue,93,0,3,6,3,84,0,0,0,6,9,10.11 %,787.61,8.85,87.51,13 / 2
US000009,61,2023-07-26,Wed,92,0,5,0,4,87,0,0,0,0,5,5.62 %,427.80,4.81,85.56,6 / 2
US000009,61,2023-07-27,Thu,92,0,3,3,2,86,0,0,0,3,6,6.74 %,484.12,5.44,80.69,7 / 2
