propertyCode,pullDateId,CancellationReason,CxlDate,Resv,RoomNights,RoomRev
US000009,919,4PM GUARANTEE,2023-08-01,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-01,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-01,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-01,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-01,1,1,$143.10
US000009,919,FLIGHT CANCELLATION,2023-08-01,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-01,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-01,0,0,$0.00
US000009,919,NON - GTD,2023-08-01,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-01,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-01,0,0,$0.00
US000009,919,UNKNOWN,2023-08-01,6,10,"$1,500.81"
US000009,919,USER ERROR,2023-08-01,0,0,$0.00
US000009,919,WEATHER,2023-08-01,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-02,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-02,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-02,2,3,$560.32
US000009,919,DUPLICATE RESERVATION,2023-08-02,9,17,"$2,209.00"
US000009,919,FAMILY EMERGENCY,2023-08-02,2,4,$584.98
US000009,919,FLIGHT CANCELLATION,2023-08-02,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-02,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-02,0,0,$0.00
US000009,919,NON - GTD,2023-08-02,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-02,1,1,$80.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-02,0,0,$0.00
US000009,919,UNKNOWN,2023-08-02,5,11,"$1,734.20"
US000009,919,USER ERROR,2023-08-02,0,0,$0.00
US000009,919,WEATHER,2023-08-02,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-03,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-03,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-03,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-03,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-03,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-03,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-03,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-03,0,0,$0.00
US000009,919,NON - GTD,2023-08-03,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-03,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-03,0,0,$0.00
US000009,919,UNKNOWN,2023-08-03,2,5,$608.87
US000009,919,USER ERROR,2023-08-03,0,0,$0.00
US000009,919,WEATHER,2023-08-03,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-04,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-04,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-04,3,5,"$1,018.10"
US000009,919,DUPLICATE RESERVATION,2023-08-04,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-04,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-04,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-04,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-04,0,0,$0.00
US000009,919,NON - GTD,2023-08-04,2,3,$596.00
US000009,919,RATE RESISTANCE,2023-08-04,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-04,0,0,$0.00
US000009,919,UNKNOWN,2023-08-04,2,3,$318.00
US000009,919,USER ERROR,2023-08-04,0,0,$0.00
US000009,919,WEATHER,2023-08-04,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-05,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-05,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-05,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-05,1,1,$248.00
US000009,919,FAMILY EMERGENCY,2023-08-05,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-05,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-05,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-05,0,0,$0.00
US000009,919,NON - GTD,2023-08-05,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-05,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-05,0,0,$0.00
US000009,919,UNKNOWN,2023-08-05,1,1,$218.50
US000009,919,USER ERROR,2023-08-05,0,0,$0.00
US000009,919,WEATHER,2023-08-05,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-06,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-06,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-06,1,1,$139.50
US000009,919,DUPLICATE RESERVATION,2023-08-06,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-06,1,1,$109.80
US000009,919,FLIGHT CANCELLATION,2023-08-06,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-06,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-06,0,0,$0.00
US000009,919,NON - GTD,2023-08-06,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-06,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-06,0,0,$0.00
US000009,919,UNKNOWN,2023-08-06,5,8,"$1,439.12"
US000009,919,USER ERROR,2023-08-06,0,0,$0.00
US000009,919,WEATHER,2023-08-06,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-07,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-07,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-07,1,3,$571.50
US000009,919,DUPLICATE RESERVATION,2023-08-07,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-07,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-07,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-07,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-07,0,0,$0.00
