propertyCode,pullDateId,GroupName,GroupStatus,RollingCutOffDays,FixedCutOffDate,SalesManager,RoomType,BlockDate,OriginalBlock,CurrentBlock,GuaranteedArrivalsPickedUp,NonGuaranteedArrivalsPickedUp,TotalPickedUp,RoomsNotPickedUp,Revenue,ADR
US000009,919,blessed byways bus tour,O,0,2023-07-26,,NK,2023-08-02,7,4,13,0,4,0,486.00,121.5
US000009,919,blessed byways bus tour,O,0,2023-07-26,,NK,2023-08-03,7,4,13,0,4,0,486.00,121.5
US000009,919,blessed byways bus tour,O,0,2023-07-26,,NQQ,2023-08-02,20,9,13,0,9,0,"1,134.00",126.0
US000009,919,blessed byways bus tour,O,0,2023-07-26,,NQQ,2023-08-03,20,9,13,0,9,0,"1,134.00",126.0
US000009,919,Frances Howell Softball Ballpark,O,0,2023-09-08,,HNK,2023-09-07,0,1,6,0,1,0,122.20,122.2
US000009,919,Frances Howell Softball Ballpark,O,0,2023-09-08,,HNK,2023-09-08,0,1,6,0,1,0,122.20,122.2
US000009,919,Frances Howell Softball Ballpark,O,0,2023-09-08,,NQQ,2023-09-07,0,4,6,0,4,0,508.80,127.2
US000009,919,Frances Howell Softball Ballpark,O,0,2023-09-08,,NQQ,2023-09-08,0,4,6,0,4,0,508.80,127.2
US000009,919,Frances Howell Softball Ballpark,O,0,2023-09-08,,SNQQ,2023-09-07,5,1,6,0,1,0,150.00,150.0
US000009,919,Frances Howell Softball Ballpark,O,0,2023-09-08,,SNQQ,2023-09-08,5,1,6,0,1,0,150.00,150.0
US000009,919,Hellman Group,O,0,2023-09-08,,NQQ,2023-09-08,0,6,7,0,6,0,"1,077.12",179.52
US000009,919,Hellman Group,O,0,2023-09-08,,SNK1,2023-09-08,0,1,7,0,1,0,179.52,179.52
US000009,919,Huber Reuion,O,0,2023-07-29,,NQQ,2023-08-05,10,2,2,0,2,0,313.20,156.6
US000009,919,LS School District,O,0,2023-09-08,,NQQ,2023-09-08,0,5,5,0,5,0,636.00,127.2
US000009,919,Musgrave Group,O,0,2023-08-20,,NQQ,2023-08-22,10,10,5,0,5,5,555.00,111.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,NK,2023-08-07,3,1,3,0,1,0,110.00,110.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,NK,2023-08-08,3,1,3,0,1,0,110.00,110.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,NK,2023-08-09,3,1,3,0,1,0,110.00,110.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,NK,2023-08-10,3,1,3,0,1,0,110.00,110.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,NQQ,2023-08-07,1,1,3,0,1,0,115.00,115.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,NQQ,2023-08-08,1,1,3,0,1,0,115.00,115.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,NQQ,2023-08-09,1,1,3,0,1,0,115.00,115.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,NQQ,2023-08-10,1,1,3,0,1,0,115.00,115.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,SNK,2023-08-07,1,1,3,0,1,0,125.00,125.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,SNK,2023-08-08,1,1,3,0,1,0,135.00,135.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,SNK,2023-08-09,1,1,3,0,1,0,135.00,135.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,SNK,2023-08-10,1,1,3,0,1,0,135.00,135.0
US000009,919,puffer family reuinion,O,0,2023-07-28,,SNK,2023-08-11,1,1,1,0,1,0,125.00,125.0
US000009,919,Stong Garner Bauer Law Firm,O,0,2023-07-29,,NK1,2023-08-12,0,1,13,0,1,0,170.64,170.64
US000009,919,Stong Garner Bauer Law Firm,O,0,2023-07-29,,NK1,2023-08-13,0,1,13,0,1,0,170.64,170.64
US000009,919,Stong Garner Bauer Law Firm,O,0,2023-07-29,,NK1,2023-08-14,0,1,13,0,1,0,170.64,170.64
US000009,919,Stong Garner Bauer Law Firm,O,0,2023-07-29,,NK1,2023-08-15,0,1,13,0,1,0,170.64,170.64
US000009,919,Stong Garner Bauer Law Firm,O,0,2023-07-29,,NK1,2023-08-16,0,1,13,0,1,0,170.64,170.64
US000009,919,Stong Garner Bauer Law Firm,O,0,2023-07-29,,NK1,2023-08-17,0,1,13,0,1,0,170.64,170.64
US000009,919,Stong Garner Bauer Law Firm,O,0,2023-07-29,,NK1,2023-08-18,0,1,13,0,1,0,170.64,170.64
US000009,919,Stong Garner Bauer Law Firm,O,0,2023-07-29,,NK1,2023-08-19,0,1,13,0,1,0,170.64,170.64
US000009,919,Stong Garner Bauer Law Firm,O,0,2023-07-29,,NK1,2023-08-20,0,1,15,0,1,0,170.64,170.64
