propertyCode,pullDateId,ACCOUNT,AUTH_STATUS,CREATED_AT,UPDATED_AT
US000009,993,860726817,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,868792417,Error,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,869972427,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,870968708,Error,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,873414185,Error,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,873473420,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,874195456,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,874899918,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,874995701,,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,876717614,Error,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,882835303,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,882849072,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,884074161,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,884689548,Error,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,885912150,Error,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,887350255,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,887350256,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,887396639,No Auth,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
US000009,993,887603891,Error,'2023-10-31T21:00:02.836978+05:30','2023-10-31T21:00:02.836978+05:30'
