propertyCode,pullDateId,IDS_DATE,Day,Rooms,OOO,StayOver,Arrivals,DueOut,Available,GroupBlock,GroupPickedUp,TransNGTD,TransGTD,Occupied,OccPercent,RoomRev,RevPAR,ADR,Ppl
US000009,919,2023-10-29,Sun,61,7,19,15,29,35, , , , ,19,35.19 %,"2,128.83",39.42,112.04,29 / 0
US000009,919,2023-10-30,Mon,61,3,11,6,8,42,0,0,0,6,17,27.87 %,"1,892.43",32.63,111.32,24 / 0
US000009,919,2023-10-31,Tue,61,2,8,6,9,45,0,0,0,6,14,22.95 %,"1,498.88",25.4,107.06,18 / 0
US000009,919,2023-11-01,Wed,61,2,4,8,10,47,0,0,0,8,12,19.67 %,"1,261.38",21.38,105.12,18 / 0
US000009,919,2023-11-02,Thu,61,2,4,2,8,53,0,0,0,2,6,9.84 %,611.27,10.36,101.88,10 / 0
US000009,919,2023-11-03,Fri,63,2,5,19,1,37,2,2,0,19,24,39.34 %,"3,103.99",52.61,129.33,40 / 1
US000009,919,2023-11-04,Sat,63,2,14,14,10,33,2,2,0,14,28,45.90 %,"3,766.21",63.83,134.51,51 / 8
US000009,919,2023-11-05,Sun,63,2,3,7,25,51,0,0,0,7,10,16.39 %,"1,078.13",18.27,107.81,15 / 1
US000009,919,2023-11-06,Mon,62,2,7,1,3,52,0,0,0,1,8,13.11 %,827.16,14.02,103.4,12 / 1
US000009,919,2023-11-07,Tue,62,2,5,2,3,53,0,0,0,2,7,11.48 %,702.30,11.9,100.33,9 / 1
US000009,919,2023-11-08,Wed,62,2,2,0,5,58,0,0,0,0,2,3.28 %,183.21,3.11,91.61,3 / 1
US000009,919,2023-11-09,Thu,62,2,2,2,0,56,0,0,0,2,4,6.56 %,369.56,6.26,92.39,7 / 1
US000009,919,2023-11-10,Fri,63,2,0,8,4,53,0,0,0,8,8,13.11 %,773.87,13.12,96.73,13 / 2
US000009,919,2023-11-11,Sat,63,2,8,0,0,53,0,0,0,0,8,13.11 %,776.41,13.16,97.05,13 / 2
US000009,919,2023-11-12,Sun,62,2,3,3,5,54,0,0,0,3,6,9.84 %,538.47,9.13,89.75,7 / 0
US000009,919,2023-11-13,Mon,62,2,3,0,3,57,0,0,0,0,3,4.92 %,298.79,5.06,99.6,3 / 0
US000009,919,2023-11-14,Tue,62,2,3,1,0,56,0,0,0,1,4,6.56 %,377.92,6.41,94.48,4 / 0
US000009,919,2023-11-15,Wed,61,2,2,2,2,55,0,0,1,1,4,6.56 %,387.09,6.56,96.77,5 / 0
US000009,919,2023-11-16,Thu,62,2,3,0,1,57,0,0,0,0,3,4.92 %,278.23,4.72,92.74,4 / 0
US000009,919,2023-11-17,Fri,63,2,3,5,0,53,0,0,0,5,8,13.11 %,897.15,15.21,112.14,14 / 0
US000009,919,2023-11-18,Sat,63,2,6,2,2,53,0,0,0,2,8,13.11 %,865.18,14.66,108.15,15 / 1
US000009,919,2023-11-19,Sun,62,2,2,4,6,54,0,0,0,4,6,9.84 %,595.28,10.09,99.21,7 / 0
US000009,919,2023-11-20,Mon,61,2,3,0,3,56,0,0,0,0,3,4.92 %,298.79,5.06,99.6,3 / 0
US000009,919,2023-11-21,Tue,62,2,3,4,0,53,0,0,0,4,7,11.48 %,692.41,11.74,98.92,9 / 0
US000009,919,2023-11-22,Wed,61,2,5,2,2,52,0,0,0,2,7,11.48 %,726.82,12.32,103.83,10 / 0
US000009,919,2023-11-23,Thu,62,2,7,5,0,48,0,0,0,5,12,19.67 %,"1,333.55",22.6,111.13,17 / 0
US000009,919,2023-11-24,Fri,63,2,8,1,4,52,0,0,0,1,9,14.75 %,"1,001.62",16.98,111.29,12 / 0
US000009,919,2023-11-25,Sat,63,2,7,1,2,53,0,0,0,1,8,13.11 %,969.40,16.43,121.18,10 / 0
US000009,919,2023-11-26,Sun,62,2,3,3,5,54,0,0,0,3,6,9.84 %,606.43,10.28,101.07,10 / 0
US000009,919,2023-11-27,Mon,61,2,4,0,2,55,0,0,0,0,4,6.56 %,400.95,6.8,100.24,5 / 0
US000009,919,2023-11-28,Tue,62,2,3,1,1,56,0,0,0,1,4,6.56 %,395.77,6.71,98.94,4 / 0
US000009,919,2023-11-29,Wed,61,2,2,1,2,56,0,0,0,1,3,4.92 %,311.96,5.29,103.99,3 / 0
US000009,919,2023-11-30,Thu,61,0,1,0,2,60,0,0,0,0,1,1.64 %,116.10,1.9,116.1,1 / 0
US000009,919,2023-12-01,Fri,63,0,1,1,0,61,0,0,0,1,2,3.28 %,228.81,3.75,114.41,3 / 0
US000009,919,2023-12-02,Sat,63,0,2,0,0,61,0,0,0,0,2,3.28 %,222.18,3.64,111.09,3 / 0
US000009,919,2023-12-03,Sun,61,0,1,1,1,59,0,0,0,1,2,3.28 %,223.80,3.67,111.9,2 / 0
US000009,919,2023-12-04,Mon,61,0,1,0,1,60,0,0,0,0,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2023-12-05,Tue,62,0,1,0,0,61,0,0,0,0,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2023-12-06,Wed,61,0,0,0,1,61,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2023-12-07,Thu,62,0,0,0,0,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2023-12-08,Fri,63,0,0,0,0,63,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2023-12-09,Sat,63,0,0,1,0,62,0,0,0,1,1,1.64 %,127.68,2.09,127.68,2 / 0
US000009,919,2023-12-10,Sun,62,0,0,4,1,58,0,0,0,4,4,6.56 %,420.38,6.89,105.1,6 / 0
US000009,919,2023-12-11,Mon,62,0,4,0,0,58,0,0,0,0,4,6.56 %,420.38,6.89,105.1,6 / 0
US000009,919,2023-12-12,Tue,62,0,4,0,0,58,0,0,0,0,4,6.56 %,420.38,6.89,105.1,6 / 0
US000009,919,2023-12-13,Wed,62,0,1,0,3,61,0,0,0,0,1,1.64 %,105.83,1.73,105.83,2 / 0
US000009,919,2023-12-14,Thu,62,0,1,2,0,59,0,0,0,2,3,4.92 %,351.59,5.76,117.2,4 / 0
US000009,919,2023-12-15,Fri,63,0,3,0,0,60,0,0,0,0,3,4.92 %,412.97,6.77,137.66,4 / 0
US000009,919,2023-12-16,Sat,63,0,3,0,0,60,0,0,0,0,3,4.92 %,412.97,6.77,137.66,4 / 0
US000009,919,2023-12-17,Sun,62,0,0,1,3,61,0,0,0,1,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2023-12-18,Mon,61,0,1,0,0,60,0,0,0,0,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2023-12-19,Tue,62,0,1,0,0,61,0,0,0,0,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2023-12-20,Wed,61,0,0,1,1,60,0,0,0,1,1,1.64 %,106.92,1.75,106.92,2 / 0
US000009,919,2023-12-21,Thu,61,0,0,0,1,61,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2023-12-22,Fri,63,0,0,0,0,63,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2023-12-23,Sat,63,0,0,0,0,63,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2023-12-24,Sun,62,0,0,1,0,61,0,0,0,1,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2023-12-25,Mon,62,0,1,0,0,61,0,0,0,0,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2023-12-26,Tue,62,0,1,0,0,61,0,0,0,0,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2023-12-27,Wed,62,0,0,0,1,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2023-12-28,Thu,63,0,0,0,0,43,20,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2023-12-29,Fri,63,0,0,1,0,42,20,0,0,1,1,1.64 %,153.72,2.52,153.72,2 / 0
US000009,919,2023-12-30,Sat,63,0,1,0,0,52,10,0,0,0,1,1.64 %,164.52,2.7,164.52,2 / 0
US000009,919,2023-12-31,Sun,63,0,1,4,0,50,10,2,0,4,5,8.20 %,628.64,10.31,125.73,6 / 0
US000009,919,2024-01-01,Mon,61,0,1,0,4,60,0,0,0,0,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2024-01-02,Tue,62,0,1,0,0,61,0,0,0,0,1,1.64 %,110.00,1.8,110.0,1 / 0
US000009,919,2024-01-03,Wed,62,0,0,0,1,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-04,Thu,62,0,0,0,0,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-05,Fri,63,0,0,1,0,62,0,0,0,1,1,1.64 %,107.10,1.76,107.1,2 / 0
US000009,919,2024-01-06,Sat,63,0,1,0,0,62,0,0,0,0,1,1.64 %,107.10,1.76,107.1,2 / 0
US000009,919,2024-01-07,Sun,62,0,0,0,1,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-08,Mon,61,0,0,0,0,61,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-09,Tue,61,0,0,0,0,61,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-10,Wed,61,0,0,0,0,61,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-11,Thu,61,0,0,0,0,61,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-12,Fri,63,0,0,0,0,63,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-13,Sat,63,0,0,0,0,63,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-14,Sun,62,0,0,0,0,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-15,Mon,62,0,0,0,0,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-16,Tue,62,0,0,0,0,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-17,Wed,62,0,0,0,0,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-18,Thu,62,0,0,0,0,62,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-19,Fri,63,0,0,0,0,63,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-20,Sat,63,0,0,0,0,63,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-21,Sun,63,0,0,0,0,63,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
US000009,919,2024-01-22,Mon,62,0,0,2,0,60,0,0,0,2,2,3.28 %,190.48,3.12,95.24,3 / 0
US000009,919,2024-01-23,Tue,62,0,2,0,0,60,0,0,0,0,2,3.28 %,190.48,3.12,95.24,3 / 0
US000009,919,2024-01-24,Wed,62,0,1,7,1,54,0,0,0,7,8,13.11 %,933.63,15.31,116.7,12 / 0
US000009,919,2024-01-25,Thu,63,0,8,36,0,19,30,30,0,36,44,72.13 %,"5,437.87",89.15,123.59,62 / 0
US000009,919,2024-01-26,Fri,63,0,14,3,30,46,0,0,0,3,17,27.87 %,"2,221.46",36.42,130.67,37 / 2
US000009,919,2024-01-27,Sat,63,0,3,0,14,60,0,0,0,0,3,4.92 %,330.82,5.42,110.27,5 / 0
US000009,919,2024-01-28,Sun,63,0,0,0,3,63,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
