propertyCode,pullDateId,IDS_RATE_CODE,RoomNights,RoomNightsPer,RoomRevenue,RoomRevenuePer,DailyAVG,PTDRoomNights,PTDRoomNightsPer,PTDRoomRevenue,PTDRoomRevenuePer,PTD_AVG,YTDRoomNights,YTDRoomNightsPer,YTDRoomRevenue,YTDRoomRevenuePer,YTD_AVG
US000009,919,SSO,0,0,0.0,0.0,0.0,1,0.1,144.00,0.11,144.0,61,0.52,"7,646.20",0.48,125.35
US000009,919,SSC,1,3,138.92,3.14,138.92,37,3.73,"4,940.03",3.82,133.51,684,5.86,"88,346.35",5.57,129.16
US000009,919,SRTLG,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,10,0.09,"1,176.44",0.07,117.64
US000009,919,SRTL,2,6,257.4,5.82,128.7,63,6.36,"8,320.31",6.44,132.07,501,4.29,"78,188.21",4.93,156.06
US000009,919,SRD Rate,0,0,0.0,0.0,0.0,2,0.2,122.50,0.09,61.25,156,1.34,"8,246.46",0.52,52.86
US000009,919,SPPS,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,2,0.02,456.00,0.03,228.0
US000009,919,SPC,0,0,0.0,0.0,0.0,7,0.71,756.31,0.59,108.04,73,0.63,"7,711.92",0.49,105.64
US000009,919,SP3R,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,17,0.15,"2,229.40",0.14,131.14
US000009,919,SP3EXP,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,13,0.11,"1,555.57",0.10,119.66
US000009,919,SP2R,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,43,0.37,"6,266.65",0.39,145.74
US000009,919,SP2H,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,2,0.02,286.88,0.02,143.44
US000009,919,SP2EXP,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,19,0.16,"2,508.06",0.16,132.0
US000009,919,SP2BK,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,4,0.03,480.60,0.03,120.15
US000009,919,SP2AG,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,2,0.02,287.64,0.02,143.82
US000009,919,SP15M3,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,3,0.03,408.85,0.03,136.28
US000009,919,SP10M2,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,4,0.03,606.60,0.04,151.65
US000009,919,SOPM1M,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,1,0.01,93.87,0.01,93.87
US000009,919,SO3R,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,6,0.05,908.00,0.06,151.33
US000009,919,SO3EXP,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,3,0.03,555.02,0.03,185.01
US000009,919,SO3BK,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,3,0.03,700.00,0.04,233.33
US000009,919,SO2R,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,5,0.04,736.35,0.05,147.27
US000009,919,SO2M2M,0,0,0.0,0.0,0.0,11,1.11,"1,023.01",0.79,93.0,28,0.24,"3,074.18",0.19,109.79
US000009,919,SO2G,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,2,0.02,193.12,0.01,96.56
US000009,919,SO2EXP,0,0,0.0,0.0,0.0,27,2.72,"2,118.63",1.64,78.47,30,0.26,"2,367.22",0.15,78.91
US000009,919,SO2BK,0,0,0.0,0.0,0.0,4,0.4,418.32,0.32,104.58,8,0.07,"1,222.75",0.08,152.84
US000009,919,SO20M3,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,3,0.03,355.20,0.02,118.4
US000009,919,SO20M2,0,0,0.0,0.0,0.0,11,1.11,"1,137.20",0.88,103.38,24,0.21,"2,848.80",0.18,118.7
US000009,919,SO203M,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,11,0.09,"1,995.68",0.13,181.43
US000009,919,SO1EXP,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,1,0.01,95.82,0.01,95.82
US000009,919,SO152M,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,30,0.26,"5,290.24",0.33,176.34
US000009,919,SNP,0,0,0.0,0.0,0.0,4,0.4,396.75,0.31,99.19,95,0.81,"9,525.35",0.60,100.27
US000009,919,SN15,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,3,0.03,467.50,0.03,155.83
US000009,919,SITC,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,5,0.04,526.97,0.03,105.39
US000009,919,SIT,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,51,0.44,"6,639.69",0.42,130.19
US000009,919,SHTB,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,17,0.15,"1,787.01",0.11,105.12
US000009,919,SGML,2,6,260.57,5.89,130.29,29,2.93,"3,941.48",3.05,135.91,447,3.83,"59,294.35",3.74,132.65
US000009,919,SGM,0,0,0.0,0.0,0.0,8,0.81,856.00,0.66,107.0,50,0.43,"5,127.00",0.32,102.54
US000009,919,SGAR,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,4,0.03,445.40,0.03,111.35
US000009,919,SEGEN,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,26,0.22,"2,397.19",0.15,92.2
US000009,919,SED,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,20,0.17,"1,100.00",0.07,55.0
US000009,919,SCPM,4,12,601.26,13.6,150.32,76,7.67,"11,277.44",8.73,148.39,"1,110",9.51,"156,867.95",9.88,141.32
US000009,919,SC15,0,0,0.0,0.0,0.0,10,1.01,"1,521.50",1.18,152.15,51,0.44,"7,066.38",0.45,138.56
US000009,919,SC12,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,1,0.01,142.56,0.01,142.56
US000009,919,SBOOK,2,6,261.9,5.92,130.95,42,4.24,"6,105.27",4.73,145.36,521,4.46,"82,072.71",5.17,157.53
US000009,919,SAPR2X,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,49,0.42,"5,791.63",0.36,118.2
US000009,919,SAPR2M,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,107,0.92,"14,340.27",0.90,134.02
US000009,919,SAPR2H,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,18,0.15,"1,866.97",0.12,103.72
US000009,919,SAPR2G,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,4,0.03,543.57,0.03,135.89
US000009,919,SAPR2B,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,30,0.26,"4,161.21",0.26,138.71
US000009,919,SAPR2A,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,7,0.06,818.56,0.05,116.94
US000009,919,SAPR2,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,26,0.22,"4,054.40",0.26,155.94
US000009,919,SAPR1X,0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0.0,38,0.33,"4,311.51",0.27,113.46
US000009,919,SAPR1M,7,21,940.21,21.26,134.32,143,14.43,"19,642.65",15.21,137.36,"1,175",10.06,"165,756.19",10.44,141.07
US000009,919,SAPR1H,0,0,0.0,0.0,0.0,1,0.1,117.12,0.09,117.12,23,0.2,"3,243.34",0.20,141.01
