propertyCode,pullDateId,IDS_DATE_DAY,RateCode,RoomNights,RoomNightsPer,RoomRevenue,RoomRevenuePer,DailyAVG
US000009,919,2023-08-01,SSC,1,2,118.80,2.41,118.80
US000009,919,2023-08-01,SRTL,4,10,486.00,9.87,121.50
US000009,919,2023-08-01,SNP,1,2,95.25,1.93,95.25
US000009,919,2023-08-01,SCPM,4,10,532.59,10.82,133.15
US000009,919,2023-08-01,SBOOK,1,2,114.30,2.32,114.30
US000009,919,2023-08-01,SAPR1M,8,20,937.09,19.03,117.14
US000009,919,2023-08-01,SAPR1,3,7,335.70,6.82,111.90
US000009,919,2023-08-01,BAR,12,30,"1,683.40",34.19,140.28
US000009,919,2023-08-01,LEXP,4,10,435.88,8.85,108.97
US000009,919,2023-08-01,LDISC2,1,2,110.00,2.23,110.00
US000009,919,2023-08-01,LDISC1,1,2,75.00,1.52,75.00
US000009,919,2023-08-02,SSC,2,4,289.98,4.02,144.99
US000009,919,2023-08-02,SP2R,1,2,145.80,2.02,145.80
US000009,919,2023-08-02,SGML,1,2,160.16,2.22,160.16
US000009,919,2023-08-02,SCPM,4,8,592.95,8.22,148.24
US000009,919,2023-08-02,SBOOK,1,2,181.80,2.52,181.80
US000009,919,2023-08-02,SAPR1M,8,16,"1,180.30",16.36,147.54
US000009,919,2023-08-02,SAPR1,2,4,278.10,3.86,139.05
US000009,919,2023-08-02,BAR,27,56,"4,125.55",57.19,152.80
US000009,919,2023-08-02,LEXP,1,2,133.02,1.84,133.02
US000009,919,2023-08-02,GROUP~,1,2,126.00,1.75,126.00
US000009,919,2023-08-03,SSC,2,4,300.15,4.63,150.08
US000009,919,2023-08-03,SRTL,1,2,229.50,3.54,229.50
US000009,919,2023-08-03,SP2R,1,2,155.52,2.40,155.52
US000009,919,2023-08-03,SCPM,1,2,180.42,2.78,180.42
US000009,919,2023-08-03,SAPR1M,8,18,"1,451.80",22.38,181.48
US000009,919,2023-08-03,SAPR1,1,2,159.30,2.46,159.30
US000009,919,2023-08-03,S3A,7,15,960.07,14.80,137.15
US000009,919,2023-08-03,BAR,17,38,"2,300.95",35.47,135.35
US000009,919,2023-08-03,NPHEP,1,2,95.00,1.46,95.00
US000009,919,2023-08-03,LSTATE,1,2,98.00,1.51,98.00
US000009,919,2023-08-03,LEXP,2,4,278.05,4.29,139.03
US000009,919,2023-08-03,LDISC2,1,2,153.00,2.36,153.00
US000009,919,2023-08-03,GROUP~,1,2,126.00,1.94,126.00
US000009,919,2023-08-04,SSC,1,1,183.60,1.63,183.60
US000009,919,2023-08-04,SRTL,5,8,937.80,8.33,187.56
US000009,919,2023-08-04,SP2R,1,1,187.92,1.67,187.92
US000009,919,2023-08-04,SP2EXP,1,1,158.13,1.41,158.13
US000009,919,2023-08-04,SIT,1,1,153.00,1.36,153.00
US000009,919,2023-08-04,SGML,2,3,385.44,3.42,192.72
US000009,919,2023-08-04,SCPM,2,3,388.80,3.45,194.40
US000009,919,2023-08-04,SBOOK,5,8,965.70,8.58,193.14
US000009,919,2023-08-04,SAPR1M,5,8,982.13,8.73,196.43
US000009,919,2023-08-04,SAPR1,1,1,203.60,1.81,203.60
US000009,919,2023-08-04,S3A,5,8,807.50,7.18,161.50
US000009,919,2023-08-04,S10M2M,3,5,583.11,5.18,194.37
US000009,919,2023-08-04,BAR,20,33,"4,268.70",37.93,213.44
US000009,919,2023-08-04,NPHEP,1,1,95.00,0.84,95.00
US000009,919,2023-08-04,LSTATE,1,1,98.00,0.87,98.00
US000009,919,2023-08-04,LEXP,3,5,496.13,4.41,165.38
US000009,919,2023-08-04,LDISC2,2,3,359.70,3.20,179.85
US000009,919,2023-08-05,SSC,2,3,398.70,3.48,199.35
US000009,919,2023-08-05,SRTL,9,15,"1,693.05",14.78,188.12
US000009,919,2023-08-05,SP2R,4,6,779.22,6.80,194.81
US000009,919,2023-08-05,SP2EXP,1,1,165.79,1.45,165.79
US000009,919,2023-08-05,SIT,2,3,324.75,2.83,162.38
US000009,919,2023-08-05,SGML,2,3,416.24,3.63,208.12
US000009,919,2023-08-05,SCPM,6,10,"1,297.95",11.33,216.33
US000009,919,2023-08-05,SBOOK,3,5,677.70,5.92,225.90
US000009,919,2023-08-05,SAPR1M,4,6,830.62,7.25,207.66
US000009,919,2023-08-05,SAPR1H,1,1,160.65,1.40,160.65
US000009,919,2023-08-05,SAPR1,2,3,408.40,3.56,204.20
US000009,919,2023-08-05,S3A,7,11,"1,356.60",11.84,193.80
US000009,919,2023-08-05,S10M2M,3,5,606.20,5.29,202.07
US000009,919,2023-08-05,BAR,2,3,292.09,2.55,146.05
US000009,919,2023-08-05,NPHEP,1,1,95.00,0.83,95.00
US000009,919,2023-08-05,LWTO,1,1,178.50,1.56,178.50
