propertyCode,pullDateId,CancellationReason,CxlDate,Resv,RoomNights,RoomRev
USTX230301,920,4PM GUARANTEE,2023-08-01,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-01,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-01,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-01,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-01,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-01,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-01,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-01,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-01,1,2,$226.10
USTX230301,920,RATE RESISTANCE,2023-08-01,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-01,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-01,9,19,"$1,903.65"
USTX230301,920,USER ERROR,2023-08-01,0,0,$0.00
USTX230301,920,WEATHER,2023-08-01,1,1,$109.00
USTX230301,920,4PM GUARANTEE,2023-08-02,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-02,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-02,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-02,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-02,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-02,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-02,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-02,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-02,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-02,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-02,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-02,7,20,"$2,319.25"
USTX230301,920,USER ERROR,2023-08-02,1,1,$61.00
USTX230301,920,WEATHER,2023-08-02,1,1,$93.60
USTX230301,920,4PM GUARANTEE,2023-08-03,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-03,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-03,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-03,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-03,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-03,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-03,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-03,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-03,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-03,1,1,$104.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-03,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-03,6,13,"$1,201.69"
USTX230301,920,USER ERROR,2023-08-03,1,1,$61.00
USTX230301,920,WEATHER,2023-08-03,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-04,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-04,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-04,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-04,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-04,1,1,$104.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-04,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-04,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-04,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-04,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-04,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-04,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-04,2,2,$199.17
USTX230301,920,USER ERROR,2023-08-04,1,1,$61.00
USTX230301,920,WEATHER,2023-08-04,2,3,$321.55
USTX230301,920,4PM GUARANTEE,2023-08-05,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-05,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-05,1,1,$113.05
USTX230301,920,DUPLICATE RESERVATION,2023-08-05,5,5,$305.00
USTX230301,920,FAMILY EMERGENCY,2023-08-05,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-05,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-05,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-05,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-05,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-05,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-05,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-05,1,2,$358.00
USTX230301,920,USER ERROR,2023-08-05,0,0,$0.00
USTX230301,920,WEATHER,2023-08-05,3,3,$286.00
USTX230301,920,4PM GUARANTEE,2023-08-06,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-06,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-06,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-06,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-06,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-06,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-06,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-06,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-06,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-06,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-06,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-06,2,3,$293.52
USTX230301,920,USER ERROR,2023-08-06,0,0,$0.00
USTX230301,920,WEATHER,2023-08-06,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-07,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-07,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-07,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-07,1,1,$109.00
USTX230301,920,FAMILY EMERGENCY,2023-08-07,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-07,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-07,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-07,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-07,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-07,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-07,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-07,1,1,$103.09
