propertyCode,pullDateId,ACCOUNT,AUTH_STATUS,CREATED_AT,UPDATED_AT
USTX230301,994,846889557,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,846889558,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,855094981,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,857730195,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,857964560,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,865143153,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,866898239,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,867014542,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,867989347,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,870396798,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,870823675,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,873590948,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,873989999,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,875008311,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,876361793,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,876381048,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,879141303,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,880477678,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,880738899,,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,881078797,Error,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,881279181,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,881946802,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,881998331,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
USTX230301,994,882039326,No Auth,'2023-10-31T21:00:44.188579+05:30','2023-10-31T21:00:44.188579+05:30'
