propertyCode,pullDateId,createdAt,updatedAt,createdAtEpoch,updatedAtEpoch,IDS_DATE,Day,Rooms,OOO,StayOver,Arrivals,DueOut,Available,GroupBlock,GroupPickedUp,TransNGTD,TransGTD,Occupied,OccPercent,RoomRev,RevPAR,ADR,Ppl
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-11-30,Thu,91,0,44,47,0,0,0,0,0,47,91,100.00 %,"10,216.08",112.26,112.26,155 / 13
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-01,Fri,91,0,40,47,51,4,0,0,0,47,87,95.60 %,"9,364.93",102.91,107.64,160 / 15
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-02,Sat,91,0,50,10,37,31,0,0,2,8,60,65.93 %,"6,184.18",67.96,103.07,115 / 14
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-03,Sun,91,0,19,5,41,67,0,0,1,4,24,26.37 %,"1,832.35",20.14,76.35,38 / 8
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-04,Mon,91,0,8,2,16,81,0,0,0,2,10,10.99 %,789.47,8.68,78.95,15 / 2
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-05,Tue,91,0,5,4,5,82,0,0,0,4,9,9.89 %,702.96,7.72,78.11,14 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-06,Wed,91,0,2,2,7,87,0,0,0,2,4,4.40 %,270.73,2.98,67.68,5 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-07,Thu,91,0,2,6,2,83,0,0,0,6,8,8.79 %,721.80,7.93,90.23,15 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-08,Fri,91,0,5,26,3,60,0,0,1,25,31,34.07 %,"3,335.18",36.65,107.59,59 / 4
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-09,Sat,91,0,27,39,4,25,0,0,0,39,66,72.53 %,"10,317.72",113.38,156.33,120 / 14
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-10,Sun,91,0,64,19,2,8,0,0,0,19,83,91.21 %,"11,699.69",128.57,140.96,155 / 15
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-11,Mon,91,0,8,0,75,83,0,0,0,0,8,8.79 %,793.44,8.72,99.18,10 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-12,Tue,91,0,3,1,5,87,0,0,0,1,4,4.40 %,427.61,4.7,106.9,4 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-13,Wed,91,0,4,3,0,84,0,0,0,3,7,7.69 %,654.61,7.19,93.52,9 / 2
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-14,Thu,91,0,7,2,0,82,0,0,0,2,9,9.89 %,860.08,9.45,95.56,15 / 5
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-15,Fri,91,0,5,7,4,79,0,0,0,7,12,13.19 %,"1,340.66",14.73,111.72,24 / 7
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-16,Sat,91,0,6,2,6,83,0,0,0,2,8,8.79 %,844.31,9.28,105.54,19 / 8
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-17,Sun,91,0,0,6,8,85,0,0,0,6,6,6.59 %,404.92,4.45,67.49,9 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-18,Mon,91,0,4,1,2,86,0,0,0,1,5,5.49 %,445.01,4.89,89.0,8 / 2
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-19,Tue,91,0,3,5,2,83,0,0,0,5,8,8.79 %,745.24,8.19,93.16,13 / 4
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-20,Wed,91,0,2,0,6,89,0,0,0,0,2,2.20 %,163.32,1.79,81.66,3 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-21,Thu,91,0,0,0,2,91,0,0,0,0,0,0.00 %,0.00,0.0,0.0,0 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-22,Fri,91,0,0,4,0,87,0,0,0,4,4,4.40 %,212.30,2.33,53.08,6 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-23,Sat,91,0,3,2,1,86,0,0,0,2,5,5.49 %,324.30,3.56,64.86,8 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-24,Sun,91,0,4,0,1,87,0,0,0,0,4,4.40 %,264.70,2.91,66.18,6 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-25,Mon,91,0,4,1,0,86,0,0,0,1,5,5.49 %,362.73,3.99,72.55,7 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-26,Tue,91,0,2,1,3,88,0,0,0,1,3,3.30 %,151.98,1.67,50.66,5 / 0
USTX230301,1361,'2023-12-01T10:59:56.118632+05:30','2023-12-01T10:59:56.118779+05:30',1701408596,1701408596,2023-12-27,Wed,91,0,1,6,2,84,0,0,0,6,7,7.69 %,411.84,4.53,58.83,17 / 0
