propertyCode,pullDateId,IDS_RATE_CODE,RoomNights,RoomNightsPer,RoomRevenue,RoomRevenuePer,DailyAVG,PTDRoomNights,PTDRoomNightsPer,PTDRoomRevenue,PTDRoomRevenuePer,PTD_AVG,YTDRoomNights,YTDRoomNightsPer,YTDRoomRevenue,YTDRoomRevenuePer,YTD_AVG
USTX230301,920,SSC,0,0,0.00,0.0,0.0,26,1.33,"2,795.82",1.52,107.53,210,0.96,"21,111.75",1.15,100.53
USTX230301,920,SRTL,24,26,"4,546.95",30.34,189.46,134,6.87,"17,128.85",9.31,127.83,"1,044",4.8,"128,924.13",7.0,123.49
USTX230301,920,SRD Rate,10,11,"1,517.30",10.12,151.73,69,3.54,"4,304.85",2.34,62.39,624,2.87,"33,979.18",1.85,54.45
USTX230301,920,SPC,0,0,0.00,0.0,0.0,4,0.21,387.90,0.21,96.98,45,0.21,"4,274.28",0.23,94.98
USTX230301,920,SP2R,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,300,1.38,"29,895.31",1.62,99.65
USTX230301,920,SP2EXP,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,236,1.08,"18,938.87",1.03,80.25
USTX230301,920,SP2BK,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,148,0.68,"14,849.03",0.81,100.33
USTX230301,920,SP15M3,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,18,0.08,"1,475.01",0.08,81.95
USTX230301,920,SP10M2,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,12,0.06,"1,082.70",0.06,90.23
USTX230301,920,SO3R,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,98,0.45,"8,971.12",0.49,91.54
USTX230301,920,SO3EXP,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,24,0.11,"1,748.89",0.09,72.87
USTX230301,920,SO3BK,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,23,0.11,"2,108.44",0.11,91.67
USTX230301,920,SO3AG,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,7,0.03,602.60,0.03,86.09
USTX230301,920,SO2R,0,0,0.00,0.0,0.0,7,0.36,538.40,0.29,76.91,94,0.43,"9,127.56",0.5,97.1
USTX230301,920,SO2M2M,0,0,0.00,0.0,0.0,29,1.49,"2,037.44",1.11,70.26,56,0.26,"4,117.67",0.22,73.53
USTX230301,920,SO2G,0,0,0.00,0.0,0.0,2,0.1,121.04,0.07,60.52,4,0.02,271.32,0.01,67.83
USTX230301,920,SO2EXP,0,0,0.00,0.0,0.0,20,1.03,"1,354.12",0.74,67.71,75,0.34,"5,519.49",0.3,73.59
USTX230301,920,SO2BK,0,0,0.00,0.0,0.0,24,1.23,"1,844.80",1.0,76.87,74,0.34,"6,176.34",0.34,83.46
USTX230301,920,SO2AG,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,4,0.02,322.24,0.02,80.56
USTX230301,920,SO20M3,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,17,0.08,"1,454.40",0.08,85.55
USTX230301,920,SO20M2,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,2,0.01,142.40,0.01,71.2
USTX230301,920,SO203M,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,113,0.52,"9,397.85",0.51,83.17
USTX230301,920,SO15M2,0,0,0.00,0.0,0.0,0,0.0,0.00,0.0,0.0,2,0.01,193.80,0.01,96.9
