propertyCode,pullDateId,IDS_DATE_DAY,RateCode,RoomNights,RoomNightsPer,RoomRevenue,RoomRevenuePer,DailyAVG
USTX230301,920,2023-08-01,SRTL,3,8,317.00,10.34,105.67
USTX230301,920,2023-08-01,SRD Rate,1,2,43.82,1.43,43.82
USTX230301,920,2023-08-01,SO3R,4,11,328.80,10.72,82.20
USTX230301,920,2023-08-01,SO3BK,1,2,83.20,2.71,83.20
USTX230301,920,2023-08-01,SO20M3,1,2,79.20,2.58,79.20
USTX230301,920,2023-08-01,SO203M,3,8,242.86,7.92,80.95
USTX230301,920,2023-08-01,SNP,1,2,79.20,2.58,79.20
USTX230301,920,2023-08-01,SCPM,6,17,571.02,18.62,95.17
USTX230301,920,2023-08-01,SBOOK,2,5,203.00,6.62,101.50
USTX230301,920,2023-08-01,SAPR2B,1,2,75.60,2.46,75.60
USTX230301,920,2023-08-01,BAR,5,14,504.00,16.43,100.80
USTX230301,920,2023-08-01,LWEEK,1,2,69.00,2.25,69.00
USTX230301,920,2023-08-01,LNET2,2,5,152.25,4.96,76.13
USTX230301,920,2023-08-01,LEXP,2,5,183.12,5.97,91.56
USTX230301,920,2023-08-01,LCLC,1,2,61.00,1.99,61.00
USTX230301,920,2023-08-01,LATP,1,2,74.00,2.41,74.00
USTX230301,920,2023-08-02,SRTL,2,2,203.00,3.67,101.50
USTX230301,920,2023-08-02,SRD Rate,2,2,71.84,1.30,35.92
USTX230301,920,2023-08-02,SO3BK,1,1,83.20,1.50,83.20
USTX230301,920,2023-08-02,SO2EXP,1,1,88.54,1.60,88.54
USTX230301,920,2023-08-02,SO20M3,1,1,79.20,1.43,79.20
USTX230301,920,2023-08-02,SO203M,3,3,242.86,4.39,80.95
USTX230301,920,2023-08-02,SNP,4,5,328.80,5.94,82.20
USTX230301,920,2023-08-02,SGM,1,1,93.60,1.69,93.60
USTX230301,920,2023-08-02,SCPM,7,9,658.44,11.90,94.06
USTX230301,920,2023-08-02,SBOOK,1,1,114.00,2.06,114.00
USTX230301,920,2023-08-02,SAPR2B,1,1,75.60,1.37,75.60
USTX230301,920,2023-08-02,BAR,5,6,499.00,9.02,99.80
USTX230301,920,2023-08-02,LWEEK,1,1,69.00,1.25,69.00
USTX230301,920,2023-08-02,LTRAV,42,54,"2,562.00",46.32,61.00
USTX230301,920,2023-08-02,LNET2,1,1,74.25,1.34,74.25
USTX230301,920,2023-08-02,LEXP,1,1,91.56,1.66,91.56
USTX230301,920,2023-08-02,LCLC,2,2,122.00,2.21,61.00
USTX230301,920,2023-08-02,LATP,1,1,74.00,1.34,74.00
USTX230301,920,2023-08-03,SRTL,3,3,297.00,5.08,99.00
USTX230301,920,2023-08-03,SRD Rate,3,3,106.08,1.82,35.36
USTX230301,920,2023-08-03,SO2R,1,1,84.15,1.44,84.15
USTX230301,920,2023-08-03,SO2EXP,1,1,88.54,1.52,88.54
USTX230301,920,2023-08-03,SO203M,2,2,161.76,2.77,80.88
USTX230301,920,2023-08-03,SO152M,2,2,156.52,2.68,78.26
USTX230301,920,2023-08-03,SNP,4,5,332.80,5.70,83.20
USTX230301,920,2023-08-03,SN25,1,1,81.75,1.40,81.75
USTX230301,920,2023-08-03,SCPM,7,8,658.44,11.27,94.06
USTX230301,920,2023-08-03,SBOOK,1,1,114.00,1.95,114.00
USTX230301,920,2023-08-03,SAPR2X,1,1,63.50,1.09,63.50
USTX230301,920,2023-08-03,SAPR2B,1,1,75.60,1.29,75.60
USTX230301,920,2023-08-03,S3A,1,1,98.10,1.68,98.10
USTX230301,920,2023-08-03,BAR,2,2,213.00,3.65,106.50
USTX230301,920,2023-08-03,NO SHOW,0,0,327.00,5.60,0.00
USTX230301,920,2023-08-03,LWEEK,1,1,69.00,1.18,69.00
USTX230301,920,2023-08-03,LTRAV,38,48,"2,318.00",39.68,61.00
USTX230301,920,2023-08-03,LNET2,1,1,84.25,1.44,84.25
USTX230301,920,2023-08-03,LEXP,2,2,180.60,3.09,90.30
USTX230301,920,2023-08-03,LCOMP,1,1,0.00,0.00,0.00
USTX230301,920,2023-08-03,LCLC,3,3,183.00,3.13,61.00
USTX230301,920,2023-08-03,LATP,2,2,148.00,2.53,74.00
USTX230301,920,2023-08-04,SSC,1,1,102.60,1.39,102.60
USTX230301,920,2023-08-04,SRTL,2,2,223.00,3.01,111.50
USTX230301,920,2023-08-04,SRD Rate,5,5,217.95,2.94,43.59
USTX230301,920,2023-08-04,SO2R,4,4,434.35,5.87,108.59
USTX230301,920,2023-08-04,SO2EXP,1,1,108.82,1.47,108.82
USTX230301,920,2023-08-04,SO2BK,1,1,92.65,1.25,92.65
USTX230301,920,2023-08-04,SO203M,1,1,86.64,1.17,86.64
USTX230301,920,2023-08-04,SO152M,2,2,176.04,2.38,88.02
USTX230301,920,2023-08-04,SNP,1,1,79.20,1.07,79.20
USTX230301,920,2023-08-04,SGML,2,2,196.20,2.65,98.10
USTX230301,920,2023-08-04,SGM,1,1,102.60,1.39,102.60
USTX230301,920,2023-08-04,SCPM,14,16,"1,487.70",20.09,106.26
USTX230301,920,2023-08-04,SBOOK,7,8,753.00,10.17,107.57
USTX230301,920,2023-08-04,S3A,1,1,102.60,1.39,102.60
USTX230301,920,2023-08-04,BAR,6,7,639.00,8.63,106.50
USTX230301,920,2023-08-04,NXVU,1,1,71.00,0.96,71.00
USTX230301,920,2023-08-04,LWTO,1,1,89.25,1.21,89.25
USTX230301,920,2023-08-04,LWI2,1,1,107.10,1.45,107.10
USTX230301,920,2023-08-04,LWEEK,1,1,69.00,0.93,69.00
USTX230301,920,2023-08-04,LTRAV,19,22,"1,159.00",15.65,61.00
USTX230301,920,2023-08-04,LNET2,1,1,84.25,1.14,84.25
USTX230301,920,2023-08-04,LEXP,8,9,751.71,10.15,93.96
USTX230301,920,2023-08-04,LCLC,2,2,122.00,1.65,61.00
USTX230301,920,2023-08-04,LATP,2,2,148.00,2.00,74.00
USTX230301,920,2023-08-05,SSC,1,1,102.60,1.30,102.60
USTX230301,920,2023-08-05,SRTL,4,4,446.00,5.64,111.50
USTX230301,920,2023-08-05,SRD Rate,6,6,265.26,3.35,44.21
USTX230301,920,2023-08-05,SO2R,3,3,341.70,4.32,113.90
USTX230301,920,2023-08-05,SO2EXP,1,1,108.82,1.38,108.82
USTX230301,920,2023-08-05,SO2BK,1,1,92.65,1.17,92.65
USTX230301,920,2023-08-05,SO203M,1,1,101.84,1.29,101.84
USTX230301,920,2023-08-05,SNP,1,1,79.20,1.00,79.20
USTX230301,920,2023-08-05,SGML,2,2,196.20,2.48,98.10
USTX230301,920,2023-08-05,SGM,1,1,102.60,1.30,102.60
USTX230301,920,2023-08-05,SCPM,17,19,"1,817.80",22.99,106.93
USTX230301,920,2023-08-05,SBOOK,4,4,441.00,5.58,110.25
USTX230301,920,2023-08-05,S3A,2,2,214.20,2.71,107.10
USTX230301,920,2023-08-05,BAR,9,10,929.00,11.75,103.22
USTX230301,920,2023-08-05,NXVU,1,1,71.00,0.90,71.00
USTX230301,920,2023-08-05,NO SHOW,0,0,313.45,3.96,0.00
USTX230301,920,2023-08-05,LWEEK,1,1,69.00,0.87,69.00
USTX230301,920,2023-08-05,LTRAV,16,18,976.00,12.34,61.00
USTX230301,920,2023-08-05,LNET2,2,2,162.25,2.05,81.13
USTX230301,920,2023-08-05,LEXP,8,9,745.64,9.43,93.21
USTX230301,920,2023-08-05,LCLC,3,3,183.00,2.31,61.00
USTX230301,920,2023-08-05,LATP,2,2,148.00,1.87,74.00
USTX230301,920,2023-08-06,SSC,1,1,91.58,1.63,91.58
USTX230301,920,2023-08-06,SRTL,1,1,99.00,1.76,99.00
USTX230301,920,2023-08-06,SRD Rate,2,2,75.70,1.35,37.85
USTX230301,920,2023-08-06,SO3R,2,2,150.40,2.68,75.20
USTX230301,920,2023-08-06,SO2G,1,1,75.14,1.34,75.14
USTX230301,920,2023-08-06,SO2BK,1,1,84.15,1.50,84.15
USTX230301,920,2023-08-06,SO203M,1,1,77.38,1.38,77.38
USTX230301,920,2023-08-06,SNP,1,1,79.20,1.41,79.20
USTX230301,920,2023-08-06,SGML,1,1,93.60,1.67,93.60
USTX230301,920,2023-08-06,SCPM,10,13,979.48,17.43,97.95
USTX230301,920,2023-08-06,S3A,2,2,187.20,3.33,93.60
USTX230301,920,2023-08-06,BAR,3,4,312.00,5.55,104.00
USTX230301,920,2023-08-06,NO SHOW,0,0,94.05,1.67,0.00
USTX230301,920,2023-08-06,LWTO,1,1,78.00,1.39,78.00
USTX230301,920,2023-08-06,LWI2,1,1,98.10,1.75,98.10
USTX230301,920,2023-08-06,LWEEK,1,1,69.00,1.23,69.00
USTX230301,920,2023-08-06,LTRAV,33,45,"2,013.00",35.83,61.00
USTX230301,920,2023-08-06,LNET2,1,1,74.25,1.32,74.25
USTX230301,920,2023-08-06,LEXP,2,2,170.52,3.03,85.26
USTX230301,920,2023-08-06,LATP,3,4,222.00,3.95,74.00
USTX230301,920,2023-08-06,GROUP~,5,6,495.00,8.81,99.00
USTX230301,920,2023-08-07,SSC,1,1,91.58,1.58,91.58
USTX230301,920,2023-08-07,SO3R,2,2,71.20,1.23,35.60
USTX230301,920,2023-08-07,SO2G,1,1,75.14,1.30,75.14
USTX230301,920,2023-08-07,SO2BK,2,2,172.55,2.97,86.28
USTX230301,920,2023-08-07,SNP,1,1,79.20,1.37,79.20
USTX230301,920,2023-08-07,SGML,1,1,93.60,1.61,93.60
USTX230301,920,2023-08-07,SCPM,10,12,948.60,16.35,94.86
USTX230301,920,2023-08-07,S3A,1,1,89.10,1.54,89.10
USTX230301,920,2023-08-07,BAR,3,3,312.00,5.38,104.00
USTX230301,920,2023-08-07,NO SHOW,0,0,(103.55),(1.79),0.00
USTX230301,920,2023-08-07,LWTO,1,1,78.00,1.34,78.00
USTX230301,920,2023-08-07,LWI2,4,5,378.90,6.53,94.73
USTX230301,920,2023-08-07,LWEEK,1,1,69.00,1.19,69.00
USTX230301,920,2023-08-07,LTRAV,36,45,"2,196.00",37.86,61.00
USTX230301,920,2023-08-07,LNET2,2,2,133.50,2.30,66.75
USTX230301,920,2023-08-07,LEXP,3,3,253.68,4.37,84.56
USTX230301,920,2023-08-07,LCLC,1,1,61.00,1.05,61.00
USTX230301,920,2023-08-07,LCAPE,1,1,84.00,1.45,84.00
USTX230301,920,2023-08-07,LATP,3,3,222.00,3.83,74.00
USTX230301,920,2023-08-07,GROUP~,5,6,495.00,8.53,99.00
USTX230301,920,2023-08-08,SRD Rate,1,1,36.44,0.63,36.44
USTX230301,920,2023-08-08,SO3R,2,2,(24.00),(0.42),(12.00)
USTX230301,920,2023-08-08,SO3EXP,1,1,66.53,1.16,66.53
USTX230301,920,2023-08-08,SO3AG,1,1,82.31,1.43,82.31
USTX230301,920,2023-08-08,SO2EXP,1,1,70.69,1.23,70.69
USTX230301,920,2023-08-08,SO2BK,2,2,192.30,3.35,96.15
USTX230301,920,2023-08-08,SNP,1,1,79.20,1.38,79.20
USTX230301,920,2023-08-08,SCPM,8,10,785.41,13.67,98.18
USTX230301,920,2023-08-08,SBOOK,1,1,109.00,1.90,109.00
USTX230301,920,2023-08-08,S3A,1,1,89.10,1.55,89.10
USTX230301,920,2023-08-08,BAR,4,5,411.00,7.16,102.75
USTX230301,920,2023-08-08,NO SHOW,0,0,169.32,2.95,0.00
USTX230301,920,2023-08-08,LWI2,4,5,374.40,6.52,93.60
USTX230301,920,2023-08-08,LWEEK,1,1,69.00,1.20,69.00
USTX230301,920,2023-08-08,LTRAV,42,53,"2,562.00",44.61,61.00
USTX230301,920,2023-08-08,LNET2,2,2,133.50,2.32,66.75
USTX230301,920,2023-08-08,LEXP,2,2,170.52,2.97,85.26
USTX230301,920,2023-08-08,LCLC,1,1,61.00,1.06,61.00
USTX230301,920,2023-08-08,LCAPE,1,1,84.00,1.46,84.00
USTX230301,920,2023-08-08,LATP,3,3,222.00,3.87,74.00
USTX230301,920,2023-08-09,SO3EXP,1,1,66.53,1.20,66.53
USTX230301,920,2023-08-09,SO3AG,1,1,82.31,1.49,82.31
USTX230301,920,2023-08-09,SO2R,1,1,96.90,1.75,96.90
USTX230301,920,2023-08-09,SO2EXP,1,1,70.69,1.28,70.69
USTX230301,920,2023-08-09,SO2BK,2,2,192.30,3.48,96.15
USTX230301,920,2023-08-09,SO203M,2,2,147.32,2.67,73.66
USTX230301,920,2023-08-09,SNP,1,1,79.20,1.43,79.20
USTX230301,920,2023-08-09,SCPM,7,9,649.14,11.74,92.73
USTX230301,920,2023-08-09,SBOOK,3,4,317.00,5.74,105.67
USTX230301,920,2023-08-09,S3A,1,1,89.10,1.61,89.10
USTX230301,920,2023-08-09,BAR,2,2,208.00,3.76,104.00
USTX230301,920,2023-08-09,NO SHOW,0,0,99.00,1.79,0.00
USTX230301,920,2023-08-09,LWI2,2,2,187.20,3.39,93.60
USTX230301,920,2023-08-09,LWEEK,1,1,69.00,1.25,69.00
USTX230301,920,2023-08-09,LTRAV,40,53,"2,440.00",44.14,61.00
USTX230301,920,2023-08-09,LNET2,2,2,133.50,2.42,66.75
USTX230301,920,2023-08-09,LFF,1,1,54.00,0.98,54.00
USTX230301,920,2023-08-09,LEXP,2,2,166.32,3.01,83.16
USTX230301,920,2023-08-09,LCAPE,1,1,84.00,1.52,84.00
USTX230301,920,2023-08-09,LATP,4,5,296.00,5.36,74.00
USTX230301,920,2023-08-10,SSC,1,1,89.10,1.52,89.10
USTX230301,920,2023-08-10,SRD Rate,2,2,69.74,1.19,34.87
USTX230301,920,2023-08-10,SO3R,1,1,79.20,1.35,79.20
USTX230301,920,2023-08-10,SO3EXP,1,1,66.53,1.14,66.53
USTX230301,920,2023-08-10,SO3AG,1,1,82.31,1.40,82.31
USTX230301,920,2023-08-10,SO2R,2,2,193.80,3.31,96.90
USTX230301,920,2023-08-10,SO2BK,1,1,88.40,1.51,88.40
USTX230301,920,2023-08-10,SO203M,2,2,147.32,2.51,73.66
USTX230301,920,2023-08-10,SNP,1,1,79.20,1.35,79.20
USTX230301,920,2023-08-10,SCPM,7,8,649.14,11.07,92.73
USTX230301,920,2023-08-10,SBOOK,1,1,99.00,1.69,99.00
USTX230301,920,2023-08-10,BAR,2,2,208.00,3.55,104.00
USTX230301,920,2023-08-10,NO SHOW,0,0,74.25,1.27,0.00
USTX230301,920,2023-08-10,LWTO,2,2,148.50,2.53,74.25
USTX230301,920,2023-08-10,LWI2,2,2,187.20,3.19,93.60
USTX230301,920,2023-08-10,LWEEK,1,1,69.00,1.18,69.00
USTX230301,920,2023-08-10,LTRAV,46,55,"2,806.00",47.87,61.00
USTX230301,920,2023-08-10,LNET2,2,2,133.50,2.28,66.75
USTX230301,920,2023-08-10,LMHM,2,2,148.00,2.53,74.00
USTX230301,920,2023-08-10,LFF,1,1,54.00,0.92,54.00
USTX230301,920,2023-08-10,LEXP,1,1,83.16,1.42,83.16
USTX230301,920,2023-08-10,LCAPE,1,1,84.00,1.43,84.00
USTX230301,920,2023-08-10,LATP,3,3,222.00,3.79,74.00
USTX230301,920,2023-08-11,SRTL,5,5,537.00,7.88,107.40
USTX230301,920,2023-08-11,SRD Rate,2,2,78.08,1.15,39.04
USTX230301,920,2023-08-11,SO3R,1,1,95.20,1.40,95.20
USTX230301,920,2023-08-11,SO3EXP,1,1,82.35,1.21,82.35
USTX230301,920,2023-08-11,SO3AG,1,1,82.31,1.21,82.31
USTX230301,920,2023-08-11,SO2R,4,4,417.35,6.13,104.34
USTX230301,920,2023-08-11,SO203M,2,2,180.88,2.65,90.44
USTX230301,920,2023-08-11,SNP,1,1,79.20,1.16,79.20
USTX230301,920,2023-08-11,SGML,1,1,98.10,1.44,98.10
USTX230301,920,2023-08-11,SCPM,4,4,409.45,6.01,102.36
USTX230301,920,2023-08-11,SBOOK,3,3,307.00,4.51,102.33
USTX230301,920,2023-08-11,S3A,2,2,196.20,2.88,98.10
USTX230301,920,2023-08-11,BAR,8,9,842.00,12.36,105.25
USTX230301,920,2023-08-11,NO SHOW,0,0,99.20,1.46,0.00
USTX230301,920,2023-08-11,LWTO,2,2,148.50,2.18,74.25
USTX230301,920,2023-08-11,LWI2,1,1,102.60,1.51,102.60
USTX230301,920,2023-08-11,LWEEK,1,1,69.00,1.01,69.00
USTX230301,920,2023-08-11,LTRAV,41,47,"2,501.00",36.71,61.00
USTX230301,920,2023-08-11,LEXP,3,3,278.54,4.09,92.85
USTX230301,920,2023-08-11,LCLC,1,1,61.00,0.90,61.00
USTX230301,920,2023-08-11,LATP,2,2,148.00,2.17,74.00
USTX230301,920,2023-08-12,SRTL,4,4,423.00,5.73,105.75
USTX230301,920,2023-08-12,SRD Rate,3,3,171.42,2.32,57.14
USTX230301,920,2023-08-12,SO3R,2,2,194.40,2.63,97.20
USTX230301,920,2023-08-12,SO2R,4,4,417.35,5.65,104.34
USTX230301,920,2023-08-12,SO152M,1,1,108.21,1.47,108.21
USTX230301,920,2023-08-12,SCPM,7,8,686.85,9.30,98.12
USTX230301,920,2023-08-12,SBOOK,6,6,654.00,8.86,109.00
USTX230301,920,2023-08-12,SAGOD,2,2,176.80,2.39,88.40
USTX230301,920,2023-08-12,S3A,2,2,196.20,2.66,98.10
USTX230301,920,2023-08-12,BAR,6,6,634.00,8.59,105.67
USTX230301,920,2023-08-12,NTVH02,1,1,80.66,1.09,80.66
USTX230301,920,2023-08-12,NO SHOW,0,0,203.00,2.75,0.00
USTX230301,920,2023-08-12,LWEEK,1,1,69.00,0.93,69.00
USTX230301,920,2023-08-12,LTRAV,33,37,"2,013.00",27.26,61.00
USTX230301,920,2023-08-12,LNET2,0,0,74.25,1.01,0.00
USTX230301,920,2023-08-12,LEXP,11,12,989.59,13.40,89.96
USTX230301,920,2023-08-12,LCOR84,1,1,84.00,1.14,84.00
USTX230301,920,2023-08-12,LCLC,1,1,61.00,0.83,61.00
USTX230301,920,2023-08-12,LATP,2,2,148.00,2.00,74.00
USTX230301,920,2023-08-13,SSC,1,1,89.10,1.66,89.10
USTX230301,920,2023-08-13,SRTL,1,1,104.00,1.93,104.00
USTX230301,920,2023-08-13,SRD Rate,2,2,74.14,1.38,37.07
USTX230301,920,2023-08-13,SO3R,1,1,79.20,1.47,79.20
USTX230301,920,2023-08-13,SO3EXP,1,1,69.89,1.30,69.89
USTX230301,920,2023-08-13,SO2R,1,1,84.15,1.56,84.15
USTX230301,920,2023-08-13,SO203M,1,1,69.94,1.30,69.94
USTX230301,920,2023-08-13,SO152M,2,2,164.43,3.06,82.22
USTX230301,920,2023-08-13,SNP,2,2,150.40,2.79,75.20
USTX230301,920,2023-08-13,SCPM,5,7,474.30,8.81,94.86
USTX230301,920,2023-08-13,S3A,2,2,178.20,3.31,89.10
USTX230301,920,2023-08-13,BAR,6,8,580.00,10.78,96.67
USTX230301,920,2023-08-13,NTVH02,1,1,76.96,1.43,76.96
USTX230301,920,2023-08-13,NO SHOW,0,0,119.00,2.21,0.00
USTX230301,920,2023-08-13,LWTO,1,1,74.25,1.38,74.25
USTX230301,920,2023-08-13,LWI2,1,1,93.60,1.74,93.60
USTX230301,920,2023-08-13,LWEEK,1,1,69.00,1.28,69.00
USTX230301,920,2023-08-13,LTRAV,27,38,"1,647.00",30.60,61.00
USTX230301,920,2023-08-13,LNET2,1,1,74.25,1.38,74.25
USTX230301,920,2023-08-13,LEXP,1,1,78.96,1.47,78.96
USTX230301,920,2023-08-13,LCOR84,1,1,84.00,1.56,84.00
USTX230301,920,2023-08-13,LCLC,1,1,61.00,1.13,61.00
USTX230301,920,2023-08-13,LATP,2,2,148.00,2.75,74.00
USTX230301,920,2023-08-13,GROUP~,9,12,738.00,13.71,82.00
USTX230301,920,2023-08-14,SSC,2,2,187.20,3.37,93.60
USTX230301,920,2023-08-14,SRTL,1,1,96.55,1.74,96.55
USTX230301,920,2023-08-14,SRD Rate,3,4,110.97,2.00,36.99
USTX230301,920,2023-08-14,SO3R,1,1,78.40,1.41,78.40
USTX230301,920,2023-08-14,SO3EXP,1,1,68.44,1.23,68.44
USTX230301,920,2023-08-14,SO203M,1,1,68.11,1.23,68.11
USTX230301,920,2023-08-14,SO152M,1,1,72.33,1.30,72.33
USTX230301,920,2023-08-14,SNP,2,2,150.40,2.71,75.20
USTX230301,920,2023-08-14,SCPM,8,10,734.42,13.22,91.80
USTX230301,920,2023-08-14,S3A,1,1,93.60,1.68,93.60
USTX230301,920,2023-08-14,BAR,7,9,650.00,11.70,92.86
USTX230301,920,2023-08-14,NO SHOW,0,0,82.30,1.48,0.00
USTX230301,920,2023-08-14,LWEEK,1,1,69.00,1.24,69.00
USTX230301,920,2023-08-14,LTRAV,27,36,"1,647.00",29.65,61.00
USTX230301,920,2023-08-14,LNET2,1,1,74.25,1.34,74.25
USTX230301,920,2023-08-14,LEXP,2,2,183.16,3.30,91.58
USTX230301,920,2023-08-14,LCOR84,1,1,84.00,1.51,84.00
USTX230301,920,2023-08-14,LCLC,1,1,61.00,1.10,61.00
USTX230301,920,2023-08-14,LCAPE,1,1,84.00,1.51,84.00
USTX230301,920,2023-08-14,LCAE,1,1,74.00,1.33,74.00
USTX230301,920,2023-08-14,LATP,2,2,148.00,2.66,74.00
USTX230301,920,2023-08-14,GROUP~,9,12,738.00,13.29,82.00
USTX230301,920,2023-08-15,SSC,3,5,280.80,5.93,93.60
USTX230301,920,2023-08-15,SRTL,1,1,109.00,2.30,109.00
USTX230301,920,2023-08-15,SO3EXP,1,1,76.61,1.62,76.61
USTX230301,920,2023-08-15,SO3BK,1,1,79.20,1.67,79.20
USTX230301,920,2023-08-15,SO2R,2,3,176.80,3.73,88.40
USTX230301,920,2023-08-15,SO2EXP,1,1,77.83,1.64,77.83
USTX230301,920,2023-08-15,SO203M,1,1,69.94,1.48,69.94
USTX230301,920,2023-08-15,SNP,2,3,150.40,3.18,75.20
USTX230301,920,2023-08-15,SCPM,9,17,810.03,17.11,90.00
USTX230301,920,2023-08-15,SBOOK,4,7,408.00,8.62,102.00
USTX230301,920,2023-08-15,S3A,2,3,178.20,3.76,89.10
USTX230301,920,2023-08-15,BAR,7,13,645.00,13.62,92.14
USTX230301,920,2023-08-15,PKPR3,1,1,126.50,2.67,126.50
USTX230301,920,2023-08-15,NO SHOW,0,0,164.00,3.46,0.00
USTX230301,920,2023-08-15,LWEEK,1,1,138.00,2.91,138.00
USTX230301,920,2023-08-15,LTRAV,1,1,61.00,1.29,61.00
USTX230301,920,2023-08-15,LEXP,1,1,78.96,1.67,78.96
USTX230301,920,2023-08-15,LCLC,1,1,61.00,1.29,61.00
USTX230301,920,2023-08-15,LCAPE,1,1,84.00,1.77,84.00
USTX230301,920,2023-08-15,LCAE,1,1,74.00,1.56,74.00
USTX230301,920,2023-08-15,LATP,2,3,148.00,3.13,74.00
USTX230301,920,2023-08-15,GROUP~,9,17,738.00,15.59,82.00
USTX230301,920,2023-08-16,SSC,1,2,93.60,3.00,93.60
USTX230301,920,2023-08-16,SRTL,2,5,220.00,7.05,110.00
USTX230301,920,2023-08-16,SRD Rate,1,2,41.06,1.32,41.06
USTX230301,920,2023-08-16,SPC,2,5,169.20,5.42,84.60
USTX230301,920,2023-08-16,SO3BK,1,2,79.20,2.54,79.20
USTX230301,920,2023-08-16,SO2R,2,5,176.80,5.67,88.40
