propertyCode,pullDateId,REVENUE,NO_ROOMS,IND_DEDUCT_ROOMS,IND_NON_DEDUCT_ROOMS,GRP_DEDUCT_ROOMS,GRP_NON_DEDUCT_ROOMS,NO_PERSONS,ARRIVAL_ROOMS,DEPARTURE_ROOMS,COMPLIMENTARY_ROOMS,HOUSE_USE_ROOMS,DAY_USE_ROOMS,NO_SHOW_ROOMS,INVENTORY_ROOMS,CONSIDERED_DATE,CHAR_CONSIDERED_DATE,IND_DEDUCT_REVENUE,IND_NON_DEDUCT_REVENUE,GRP_NON_DEDUCT_REVENUE,GRP_DEDUCT_REVENUE,OWNER_ROOMS,FF_ROOMS,CF_OOO_ROOMS,CF_CALC_OCC_ROOMS,CF_CALC_INV_ROOMS,CF_AVERAGE_ROOM_RATE,CF_OCCUPANCY,CF_IND_DED_REV,CF_IND_NON_DED_REV,CF_BLK_DED_REV,CF_BLK_NON_DED_REV
USTX230602,922,2410.19,35,35,0,0,0,49,11,25,0,0,0,,152,2023-10-30,2023-10-30,2410.19,0,0,0,0,0,11,35,141,68.86257142857142857142857142857142857,24.82269503546099290780141843971631206,2410.19,0,0,0
USTX230602,922,1868.01,28,28,0,0,0,39,4,11,0,0,0,,152,2023-10-31,2023-10-31,1868.01,0,0,0,0,0,11,28,141,66.71464285714285714285714285714285714,19.85815602836879432624113475177304965,1868.01,0,0,0
USTX230602,922,2281.9,31,31,0,0,0,49,12,9,0,0,0,,152,2023-11-01,2023-11-01,2281.9,0,0,0,0,0,11,31,141,73.60967741935483870967741935483870968,21.98581560283687943262411347517730496,2281.9,0,0,0
USTX230602,922,1978.54,26,26,0,0,0,41,11,16,0,0,0,,152,2023-11-02,2023-11-02,1978.54,0,0,0,0,0,11,26,141,76.09769230769230769230769230769230769,18.43971631205673758865248226950354610,1978.54,0,0,0
USTX230602,922,2454.55,28,28,0,0,0,42,13,11,0,0,0,,152,2023-11-03,2023-11-03,2454.55,0,0,0,0,0,11,28,141,87.6625,19.85815602836879432624113475177304965,2454.55,0,0,0
USTX230602,922,8977.88,96,40,0,56,0,241,79,11,0,0,0,,152,2023-11-04,2023-11-04,3777.88,0,0,5200,0,0,11,96,141,93.51958333333333333333333333333333333,68.08510638297872340425531914893617021,3777.88,0,5200,0
USTX230602,922,1068.37,13,13,0,0,0,25,7,90,0,0,0,,152,2023-11-05,2023-11-05,1068.37,0,0,0,0,0,11,13,141,82.18230769230769230769230769230769231,9.219858156028368794326241134751773050,1068.37,0,0,0
USTX230602,922,1121.18,14,14,0,0,0,24,5,4,0,0,0,,152,2023-11-06,2023-11-06,1121.18,0,0,0,0,0,11,14,141,80.08428571428571428571428571428571429,9.929078014184397163120567375886524823,1121.18,0,0,0
USTX230602,922,4148,54,14,0,40,0,60,3,3,0,0,0,,152,2023-11-07,2023-11-07,1148,0,0,3000,0,0,11,54,141,76.81481481481481481481481481481481481,38.29787234042553191489361702127659574,1148,0,3000,0
USTX230602,922,3984.11,52,12,0,40,0,59,2,4,0,0,0,,152,2023-11-08,2023-11-08,984.11,0,0,3000,0,0,11,52,141,76.6175,36.87943262411347517730496453900709220,984.11,0,3000,0
USTX230602,922,4000.66,53,13,0,40,0,64,8,7,0,0,0,,152,2023-11-09,2023-11-09,1000.66,0,0,3000,0,0,11,53,141,75.48415094339622641509433962264150943,37.58865248226950354609929078014184397,1000.66,0,3000,0
USTX230602,922,5337.77,62,22,0,40,0,81,9,0,0,0,0,,152,2023-11-10,2023-11-10,1977.77,0,0,3360,0,0,11,62,141,86.09306451612903225806451612903225806,43.97163120567375886524822695035460993,1977.77,0,3360,0
USTX230602,922,5367.04,62,22,0,40,0,79,7,7,0,0,0,,152,2023-11-11,2023-11-11,2007.04,0,0,3360,0,0,11,62,141,86.56516129032258064516129032258064516,43.97163120567375886524822695035460993,2007.04,0,3360,0
